Tiempo de procesamiento: 1640.99 segundos
id,liquidacion_nro,transportista,fecha,nro_guia,placa,vehiculo_id,insumo,material_id,peso_seco,peso_humedo,monto_total,ruta,origen,destino,fuente,fecha_carga
1785447333472-1910583628,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,191/0583628,C9W737,VE-12,"PIEDRA HUSO #67",MAT-9,35.85,35.85,428.77,"CANTERA JICAMARCA - SAN JUAN","CANTERA JICAMARCA","SAN JUAN","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.475Z
1785447333472-1910583683,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-06,191/0583683,C9W737,VE-12,"ARENA",MAT-3,31.85,35.67,426.61,"CANTERA JICAMARCA - SAN JUAN","CANTERA JICAMARCA","SAN JUAN","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.475Z
1785447333472-1910583745,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-06,191/0583745,CHS718,VE-36,"ARENA",MAT-3,32.24,36.11,431.88,"CANTERA JICAMARCA - SAN JUAN","CANTERA JICAMARCA","SAN JUAN","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.475Z
1785447333472-1910583751,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-06,191/0583751,CBA709,VE-34,"ARENA",MAT-3,31.95,35.78,427.93,"CANTERA JICAMARCA - SAN JUAN","CANTERA JICAMARCA","SAN JUAN","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.475Z
1785447333472-1910583498,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,191/0583498,CAZ895,VE-33,"ARENA",MAT-3,32.98,37.26,370.01,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.475Z
1785447333472-1910583520,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,191/0583520,C9W737,VE-12,"ARENA",MAT-3,36.84,36.84,365.86,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.475Z
1785447333472-1910583537,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,191/0583537,CBA709,VE-34,"ARENA",MAT-3,33.3,37.63,373.71,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.475Z
1785447333472-1910583485,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,191/0583485,CHS718,VE-36,"PIEDRA HUSO #67",MAT-9,36.26,36.26,360.01,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1910583492,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,191/0583492,CCL847,VE-35,"PIEDRA HUSO #67",MAT-9,36.58,36.58,363.24,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1910583534,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,191/0583534,CHS718,VE-36,"PIEDRA HUSO #67",MAT-9,35.54,35.54,352.93,"CANTERA JICAMARCA - ANCIETA","CANTERA JICAMARCA","ANCIETA","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1910583557,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,191/0583557,C9W737,VE-12,"PIEDRA N#8 ASTM",MAT-9,32.63,32.8,469.31,"CANTERA JICAMARCA - EMBOLSADOS INS. Y SUM.","CANTERA JICAMARCA","EMBOLSADOS INS. Y SUM.","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1910583568,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,191/0583568,CHS718,VE-36,"PIEDRA N#8 ASTM",MAT-9,32.78,32.94,471.41,"CANTERA JICAMARCA - EMBOLSADOS INS. Y SUM.","CANTERA JICAMARCA","EMBOLSADOS INS. Y SUM.","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
1785447333472-1910583570,1785447333472,VIRGEN DE ESTRELLA S.A.C.,2026-06-05,191/0583570,CCL847,VE-35,"PIEDRA N#8 ASTM",MAT-9,33.89,34.06,487.4,"CANTERA JICAMARCA - EMBOLSADOS INS. Y SUM.","CANTERA JICAMARCA","EMBOLSADOS INS. Y SUM.","Virgen de Estrella 47043.pdf",2026-07-30T22:02:54.476Z
