feature,importance
num__distancia_km,0.6161803398338038
num__duracion_minutos,0.17583776352955183
cat__origen_PLANTA CALLAO,0.0629774114145551
cat__id_placa_PLACA_007,0.02187660295870621
cat__destino_PLANTA CALLAO,0.02131838400677709
num__mes,0.019409655587713615
cat__origen_PLANTA MEIGGS,0.014538022517899018
cat__origen_CANTERA YERBABUENA,0.009099809025275652
cat__destino_PLANTA COLLIQUE,0.007526292693041633
num__dia_semana,0.006188839666591193
cat__id_placa_PLACA_015,0.005960964819750235
cat__id_placa_PLACA_008,0.004153477195702945
cat__destino_SAN LORENZO - BASE NAVAL MIX,0.003708245066552801
cat__origen_PLANTA COLLIQUE,0.0036953525538307923
cat__id_placa_PLACA_022,0.003618122198376354
cat__origen_SAN LORENZO - BASE NAVAL MIX,0.002602013950608192
cat__destino_PLANTA MEIGGS,0.002425382789142999
cat__id_placa_PLACA_003,0.0022470328109925773
cat__id_placa_PLACA_017,0.002000296135137604
num__hora_salida,0.001823701894978906
num__fin_semana,0.0013062179344833264
cat__origen_PLANTA VILLA 2,0.0010780974017219583
cat__id_placa_PLACA_012,0.0010368732637018392
cat__id_placa_PLACA_011,0.0009668513456007919
cat__id_placa_PLACA_004,0.0007815656399917716
cat__id_placa_PLACA_016,0.0007019499560753348
cat__id_placa_PLACA_013,0.0006623238900485842
cat__id_placa_PLACA_006,0.0005916033358285484
cat__destino_PLANTA OQUENDO UNI,0.0005466035748554688
cat__origen_PLANTA OQUENDO UNI,0.0005056819332100777
cat__destino_PLANTA VILLA 2,0.0004963795799505998
cat__id_placa_PLACA_018,0.0004913230039347292
cat__origen_PLANTA MATERIALES,0.0004872028919746147
cat__id_placa_PLACA_020,0.00041875298249203916
cat__id_placa_PLACA_014,0.00041041343782195305
cat__destino_CANTERA YERBABUENA,0.0003205520731380621
cat__destino_PLANTA SAN JUAN,0.00022286041877225143
cat__tipo_combustible_ENDURA DIESEL B5 S50 *,0.00019545375970907581
cat__destino_PLANTA MATERIALES,0.0001902138505741054
cat__destino_PLANTA HUAROCHIRI,0.00017065652198013326
cat__id_placa_PLACA_001,0.00015348744793269186
cat__origen_CANTERA MINERA LOS PRIMOS,0.00012999680937039715
cat__destino_HOSPITAL SERGIO BERNALES,0.00011747570044074453
cat__origen_CANTERA JICAMARCA,0.00011704852225820833
cat__destino_CANTERA JICAMARCA,0.00011448253892095131
cat__tipo_combustible_MAX-D DIESEL B5 S50 UV,0.000114285992110437
cat__id_placa_PLACA_002,0.0001053598854882802
cat__origen_PLANTA ANCIETA UNI,7.514604884040262e-05
cat__origen_PLANTA SAN JUAN,5.9744780170991134e-05
cat__id_placa_PLACA_019,5.4026653354989815e-05
cat__id_placa_PLACA_005,5.0310860708520364e-05
cat__destino_PLANTA ANCIETA UNI,3.435022755880035e-05
cat__id_placa_PLACA_009,2.5662803577137424e-05
cat__origen_PLANTA HUAROCHIRI,1.6382993213414386e-05
cat__destino_PLANTA CONCHAN,1.309819405324778e-05
cat__origen_PLANTA CAJAMARQUILLA UNI,1.3046660389644196e-05
cat__destino_CANTERA MINERA LOS PRIMOS,1.1766782657592024e-05
cat__origen_HOSPITAL SERGIO BERNALES,9.820157744503575e-06
cat__origen_PLANTA CONCHAN,7.08380646573438e-06
cat__origen_PLANTA VILLA 1,3.6970330786483697e-06
cat__destino_PLANTA VILLA 1,3.619687718555874e-06
cat__destino_PLANTA CAJAMARQUILLA UNI,8.189690924068745e-07
cat__origen_PLANTA ANCIETA,0.0
cat__origen_PLANTA CHAMBALA,0.0
cat__destino_PLANTA CHAMBALA,0.0
