id,vehiculo_id,fecha,hora,galones_despachados,precio_unitario,monto_despachado
CO-0001,VE-16,2025-05-12 16:44:11,2025-05-12 16:44:11,70.062,12.76,893.99
CO-0002,VE-22,2025-05-12 17:05:57,2025-05-12 17:05:57,57,12.76,727.32
CO-0003,VE-14,2025-05-12 18:03:14,2025-05-12 18:03:14,74.38,12.76,949.09
CO-0004,,2025-05-12 19:29:29,2025-05-12 19:29:29,59.539,12.76,759.72
CO-0005,,2025-05-12 19:29:29,2025-05-12 19:29:29,59.539,12.76,759.72
CO-0006,VE-28,2025-05-13 15:13:52,2025-05-13 15:13:52,67.186,12.76,857.29
CO-0007,VE-12,2025-05-13 15:18:59,2025-05-13 15:18:59,68.97,12.76,880.06
CO-0008,VE-25,2025-05-13 15:35:41,2025-05-13 15:35:41,73.67,12.76,940.03
CO-0009,VE-18,2025-05-13 16:23:29,2025-05-13 16:23:29,83.856,12.76,1070
CO-0010,VE-24,2025-05-13 17:04:46,2025-05-13 17:04:46,54.089,12.76,690.18
CO-0011,VE-21,2025-05-13 17:15:27,2025-05-13 17:15:27,59.093,12.76,754.03
CO-0012,,2025-05-13 17:21:08,2025-05-13 17:21:08,57.764,12.76,737.07
CO-0013,,2025-05-13 17:21:08,2025-05-13 17:21:08,57.764,12.76,737.07
CO-0014,VE-27,2025-05-13 18:09:52,2025-05-13 18:09:52,55.246,12.76,704.94
CO-0015,VE-16,2025-05-14 15:30:20,2025-05-14 15:30:20,56.233,12.76,717.53
CO-0016,VE-03,2025-05-14 15:45:58,2025-05-14 15:45:58,97.59,12.76,1245.25
CO-0017,VE-23,2025-05-14 16:30:41,2025-05-14 16:30:41,72.901,12.76,930.22
CO-0018,VE-11,2025-05-14 16:33:17,2025-05-14 16:33:17,79.172,12.76,1010.23
CO-0019,VE-13,2025-05-14 17:00:36,2025-05-14 17:00:36,47.004,12.76,599.77
CO-0020,VE-19,2025-05-14 17:12:35,2025-05-14 17:12:35,88.467,12.76,1128.84
CO-0021,VE-14,2025-05-14 17:48:16,2025-05-14 17:48:16,55.67,12.76,710.35
CO-0022,,2025-05-14 18:40:41,2025-05-14 18:40:41,30.758,12.76,392.47
CO-0023,,2025-05-14 18:40:41,2025-05-14 18:40:41,30.758,12.76,392.47
CO-0024,VE-26,2025-05-14 18:51:09,2025-05-14 18:51:09,74.934,12.76,956.16
CO-0025,VE-22,2025-05-14 19:56:30,2025-05-14 19:56:30,47.45,12.76,605.46
CO-0026,VE-27,2025-05-15 04:28:18,2025-05-15 04:28:18,64.657,12.76,825.02
CO-0027,VE-28,2025-05-15 15:09:57,2025-05-15 15:09:57,60.752,12.76,775.2
CO-0028,VE-26,2025-05-15 15:28:41,2025-05-15 15:28:41,52.235,12.76,666.52
CO-0029,VE-12,2025-05-15 16:52:08,2025-05-15 16:52:08,74.002,12.76,944.27
CO-0030,VE-24,2025-05-15 16:59:38,2025-05-15 16:59:38,67.544,12.76,861.86
CO-0031,VE-21,2025-05-15 17:28:23,2025-05-15 17:28:23,45.458,12.76,580.04
CO-0032,VE-18,2025-05-15 18:17:28,2025-05-15 18:17:28,68.5,12.76,874.06
CO-0033,VE-25,2025-05-15 20:09:48,2025-05-15 20:09:48,64.727,12.76,825.92
CO-0034,,2025-05-16 00:13:28,2025-05-16 00:13:28,17.827,12.76,227.47
CO-0035,,2025-05-16 00:13:28,2025-05-16 00:13:28,17.827,12.76,227.47
CO-0036,VE-15,2025-05-16 15:55:14,2025-05-16 15:55:14,60.801,12.76,775.82
CO-0037,VE-22,2025-05-16 16:46:30,2025-05-16 16:46:30,66.841,12.76,852.89
