viaje_id,origen_id,origen_nombre,destino_id,destino_nombre,vehiculo_id,placa,peso_humedo_ton,google_distancia_km,google_tiempo_min,here_distancia_km,here_tiempo_min,diferencia_distancia_km,diferencia_tiempo_min
2024,U-10,HUAROCHIRI,U-01,JICAMARCA,VE-35,CCL847,33.98,23.282,59.18,37.154,108.02,13.872,48.83
481,U-17,SAN LORENZO ,U-13,OQUENDO,VE-03,ATN880,47.04,10.277,23.52,10.248,24.33,-0.029,0.82
4763,U-27,PORTILLO,U-04,ANCIETA,VE-37,CHW782,,60.883,80.0,58.149,114.08,-2.734,34.08
4261,U-17,SAN LORENZO ,U-08,COLLIQUE,VE-21,AJC805,,20.331,45.95,19.898,54.92,-0.433,8.97
3901,U-17,SAN LORENZO ,U-12,MEIGGS,VE-20,AJA905,39.76,6.055,17.57,3.853,13.6,-2.202,-3.97
2497,U-02,YERBABUENA,U-12,MEIGGS,VE-01,F3F817,43.07,58.707,116.77,45.114,129.17,-13.593,12.4
1874,U-01,JICAMARCA,U-14,SAN JUAN,VE-34,CBA709,35.2,32.527,52.97,33.063,72.0,0.536,19.03
9622,U-14,SAN JUAN,U-01,JICAMARCA,VE-12,C9W737,,30.91,50.0,33.143,82.82,2.233,32.82
1610,U-12,MEIGGS,U-17,SAN LORENZO ,VE-14,D8D861,35.58,4.06,12.6,3.826,12.78,-0.234,0.18
10432,U-17,SAN LORENZO ,U-12,MEIGGS,VE-21,AJC805,,6.055,17.57,3.853,13.6,-2.202,-3.97
7419,U-13,OQUENDO,U-21,VILLA,VE-29,BZR752,,44.823,69.28,46.908,91.97,2.085,22.68
613,U-17,SAN LORENZO ,U-13,OQUENDO,VE-18,ABN852,37.5,10.277,23.52,10.248,25.08,-0.029,1.57
581,U-02,YERBABUENA,U-12,MEIGGS,VE-07,CBR846,40.04,58.707,116.77,45.114,129.23,-13.593,12.47
1726,U-10,HUAROCHIRI,U-01,JICAMARCA,VE-32,CAP946,35.91,23.282,59.18,37.154,107.92,13.872,48.73
3822,U-27,PORTILLO,U-16,VILLA 2,VE-30,BZR781,,38.24,52.87,33.08,79.35,-5.16,26.48
4057,U-02,YERBABUENA,U-12,MEIGGS,VE-14,D8D861,36.73,58.707,116.77,45.114,129.23,-13.593,12.47
8900,U-17,SAN LORENZO ,U-11,MATERIALES,VE-24,AWH708,36.77,9.405,26.87,10.126,39.0,0.721,12.13
520,U-02,YERBABUENA,U-12,MEIGGS,VE-01,F3F817,42.38,58.707,116.77,45.114,129.23,-13.593,12.47
9903,U-17,SAN LORENZO ,U-13,OQUENDO,VE-20,AJA905,,10.277,23.52,10.248,25.08,-0.029,1.57
3490,U-21,VILLA,U-01,JICAMARCA,VE-35,CCL847,,37.677,60.28,41.895,94.37,4.218,34.08
