fecha,factura,placa,m3,precio_unitario,monto_total,km_recorridos
2024-02-19,F014-00001669,CBA709,157.01,1.73,271.62,
2024-02-19,F014-00001669,CBA709,115.29,1.73,199.45,
2025-01-02,F503-19052,BZR781,111.94,1.65,184.7,
2025-01-06,F502-30875,BZR752,71.02,1.65,117.18,
2025-01-12,F502-31025,CBR872,100.02,1.65,165.03,
2025-01-16,F503-19354,CBR846,204.34,1.65,337.16,
2025-01-19,F503-19416,CAZ895,140.84,1.65,232.39,
2025-01-30,F014-00001638,AYM897,124.41,1.73,215.22,
2025-01-31,F014-00001640,AYM897,125.43,1.73,216.99,
2025-02-04,F014-00001645,CBA709,143.84,1.73,248.84,
2025-02-07,F014-00001649,CBA709,137.13,1.73,237.23,
2025-02-13,F014-00001653,CBA709,47.23,1.73,81.71,
2025-02-13,F014-00001655,CBA709,121.63,1.73,210.41,
2025-02-18,F014-00001660,BZR940,201.84,1.73,349.18,
2025-02-18,F014-00001661,CBA709,194.16,1.73,335.89,
2025-02-18,F014-00001663,BZR752,188.46,1.73,326.03,
2025-02-20,F014-00001673,BZR940,148.52,1.73,256.93,
2025-02-21,F014-00001678,BZR752,187.29,1.73,324.01,
2025-02-22,F014-00001679,BZR940,195.73,1.73,338.61,
2025-02-24,F014-00001684,BZR940,164.22,1.73,284.1,
2025-02-25,F014-00001685,CBA709,161.8,1.73,279.91,
2025-02-25,F014-00001686,BZR940,95.2,1.73,164.69,
2025-02-26,F014-00001690,BZR752,165.79,1.73,286.81,
2025-02-27,F014-00001693,BZR752,188.5,1.73,326.1,
2025-02-28,F014-00001697,CBA709,149.83,1.73,259.2,
2025-02-28,F014-00001698,BZR752,145.67,1.73,252.0,
2025-03-01,F014-00001700,BZR940,137.49,1.73,237.85,
2025-03-02,F014-00001702,BZR752,159.49,1.73,275.91,
2025-03-03,F014-00001706,BZR752,157.37,1.73,272.25,
2025-03-04,F014-00001707,BZR940,12.13,1.73,21.0,
2025-03-04,F014-00001708,BZR940,207.59,1.73,359.13,
2025-03-05,F014-00001712,BZR940,156.47,1.73,270.69,
2025-03-05,F014-00001713,BZR752,181.43,1.73,313.87,
2025-03-06,F014-00001717,BZR940,146.27,1.73,253.04,
2025-03-06,F014-00001718,BZR752,195.3,1.73,337.86,
2025-03-08,F014-00001726,BZR940,230.57,1.73,398.88,
2025-03-10,F014-00001731,BZR940,139.24,1.73,240.88,
2025-03-11,F014-00001732,BZR752,193.8,1.73,335.27,
2025-03-11,F014-00001734,BZR940,126.01,1.73,218.0,
2025-03-11,F014-00001736,BZR752,186.68,1.73,322.95,
2025-03-12,F014-00001738,CBA709,115.6,1.73,200.0,
2025-03-12,F014-00001741,BZR940,218.88,1.73,378.66,
2025-03-13,F014-00001743,BZR752,170.82,1.73,295.51,
2025-03-13,F014-00001747,CBA709,145.2,1.73,251.19,
2025-03-14,F014-00001749,BZR752,172.54,1.73,203.6,
2025-04-01,F014-00001829,CCL847,14.4,1.73,24.91,
2025-04-05,F014-00001854,BZR752,59.81,1.73,103.47,
2025-04-05,F014-00001855,BZR940,186.0,1.73,321.78,
2025-04-06,F014-00001856,BYP824,142.62,1.73,246.73,
2025-04-08,F014-00001864,CCL847,161.81,1.73,279.93,
2025-04-08,F014-00001867,BZR940,203.44,1.73,351.95,
2025-04-08,F014-00001868,BYP824,239.05,1.73,413.55,
2025-04-09,F014-00001873,BYP824,29.7,1.73,51.38,
2025-04-10,F014-00001881,BZR940,191.87,1.73,331.93,
2025-04-10,F014-00001884,BYP824,157.62,1.73,272.68,
2025-04-10,F014-00001885,CCL847,164.66,1.73,284.86,
2025-04-11,F014-00001891,CCL847,128.8,1.73,222.82,
2025-04-11,F014-00001892,BYP824,192.82,1.73,333.57,
2025-04-11,F014-00001893,CBA709,134.25,1.73,232.25,
2025-04-11,F014-00001894,BZR940,243.13,1.73,420.61,
2025-04-12,F014-00001900,CCL847,126.98,1.73,219.67,
2025-04-14,F014-00001905,BZR940,194.82,1.73,337.03,
2025-04-14,F014-00001906,BYP824,171.25,1.73,296.26,
2025-04-14,F110-00002247,CCL847,119.0,1.73,205.87,
2025-04-15,F014-00001907,CCL847,140.63,1.73,243.28,
2025-04-15,F014-00001908,BZR940,160.61,1.73,277.85,
2025-04-15,F014-00001909,CBA709,117.42,1.73,203.13,
2025-04-15,F014-00001910,BYP824,190.67,1.73,329.85,
2025-04-16,F014-00001913,BZR940,152.08,1.73,263.09,
2025-04-16,F014-00001915,BYP824,149.32,1.73,258.32,
2025-04-20,F014-00001922,BYP824,169.4,1.73,293.06,
2025-04-21,F014-00001924,BZR940,154.0,1.73,266.42,
2025-04-21,F014-00001928,BYP824,151.77,1.73,262.56,
2025-04-22,F014-00001930,BZR940,214.98,1.73,371.91,
2025-04-22,F014-00001933,BZR940,117.06,1.73,202.51,
2025-04-22,F014-00001934,BYP824,185.37,1.73,320.69,
2025-04-22,F014-00001936,CCL847,137.87,1.73,238.51,
2025-04-23,F014-00001944,BZR940,181.95,1.73,314.77,
2025-04-24,F014-00001949,BYP824,117.34,1.73,203.0,
2025-04-24,F014-00001950,CCL847,167.89,1.73,290.44,
2025-04-24,F014-00001951,BZR940,204.2,1.73,353.26,
2025-04-25,F014-00001953,CBA709,180.48,1.73,312.23,
2025-04-25,F014-00001954,BYP824,115.31,1.73,199.48,
2025-04-25,F014-00001957,CCL847,143.56,1.73,248.35,
2025-04-25,F014-00001958,BYP824,138.41,1.73,239.44,
2025-04-26,F014-00001962,CBA709,174.18,1.73,301.33,
2025-04-26,F014-00001964,BZR940,190.34,1.73,329.28,
2025-04-26,F014-00001965,CCL847,182.33,1.73,315.43,
2025-04-26,F014-00001966,BZR940,180.0,1.73,311.4,
2025-04-27,F014-00001967,BYP824,200.56,1.73,346.96,
2025-04-28,F014-00001971,CCL847,137.51,1.73,237.89,
2025-04-28,F014-00001972,BYP824,221.67,1.73,383.48,
2025-04-29,F014-00001973,BZR940,209.0,1.73,361.57,
2025-04-29,F014-00001974,CCL847,152.74,1.73,264.24,
2025-04-29,F014-00001975,BYP824,197.5,1.73,341.67,
2025-04-29,F014-00001976,BZR940,148.87,1.73,257.54,
2025-04-29,F014-00001977,CBA709,121.05,1.73,209.41,
2025-04-30,F014-00001983,BZR781,132.18,1.73,228.67,
2025-04-30,F014-00001985,CBA709,113.78,1.73,196.83,
2025-04-30,F014-00001987,CCL847,145.35,1.73,251.45,
2025-05-01,F014-00001987,BYP824,147.76,1.73,255.62,
2025-05-02,F014-00001990,BZR940,122.98,1.73,212.75,
2025-05-02,F014-00001993,BYP824,141.53,1.73,244.84,
2025-05-02,F014-00001994,BZR781,172.78,1.73,298.9,
2025-05-02,F014-00001995,CCL847,126.12,1.73,218.18,
2025-05-03,F014-00001998,BZR781,79.9,1.73,138.22,
2025-05-03,F014-00001999,CCL847,96.76,1.73,167.39,
2025-05-04,F014-00002001,BZR940,126.2,1.73,218.32,
2025-05-05,F014-00002004,BZR940,203.37,1.73,351.83,
2025-05-05,F014-00002007,BZR781,163.31,1.73,282.52,
2025-05-05,F014-00002008,BZR940,166.36,1.73,287.8,
