id,liquidacion_nro,transportista,fecha,nro_guia,placa,vehiculo_id,insumo,material_id,peso_seco,peso_humedo,monto_total,flete,ruta,origen,destino,fecha_carga
46352-1910563135,46352,VIRGEN DE ESTRELLA S.A.C.,2026-01-02,191/0563135,C9W737,21.0,ARENA,14,30.59,34.26,390.22,,,JICAMARCA,SAN JUAN,2026-07-01T08:40:16.951561Z
46352-1910563118,46352,VIRGEN DE ESTRELLA S.A.C.,2026-01-02,191/0563118,CBA709,43.0,ARENA,14,32.23,36.43,344.58,,,JICAMARCA,ANCIETA,2026-07-01T08:40:16.951676Z
46352-1910563103,46352,VIRGEN DE ESTRELLA S.A.C.,2026-01-02,191/0563103,BZR940,40.0,PIEDRA,2,35.96,38.16,361.0,,,JICAMARCA,ANCIETA,2026-07-01T08:40:16.951959Z
46352-1910563005,46352,VIRGEN DE ESTRELLA S.A.C.,2026-01-02,191/0563005,BZR940,40.0,ARENA,14,32.2,35.42,472.12,,,JICAMARCA,VILLA 1,2026-07-01T08:40:16.952230Z
46352-1910563060,46352,VIRGEN DE ESTRELLA S.A.C.,2026-01-02,191/0563060,CBA709,43.0,ARENA,14,33.11,36.43,485.55,,,JICAMARCA,VILLA 1,2026-07-01T08:40:16.952256Z
46352-1910562993,46352,VIRGEN DE ESTRELLA S.A.C.,2026-01-02,191/0562993,CCL847,44.0,ARENA,14,30.7,34.38,551.1,,,JICAMARCA,SAN ANTONIO,2026-07-01T08:40:16.952514Z
46352-1910562996,46352,VIRGEN DE ESTRELLA S.A.C.,2026-01-02,191/0562996,C9W737,21.0,ARENA,14,29.73,33.29,533.7,,,JICAMARCA,SAN ANTONIO,2026-07-01T08:40:16.952541Z
46352-1910562998,46352,VIRGEN DE ESTRELLA S.A.C.,2026-01-02,191/0562998,CBA709,43.0,ARENA,14,31.07,34.8,557.8,,,JICAMARCA,SAN ANTONIO,2026-07-01T08:40:16.952572Z
46352-1910563187,46352,VIRGEN DE ESTRELLA S.A.C.,2026-01-03,191/0563187,CBA709,43.0,ARENA,14,33.18,37.49,354.7,,,JICAMARCA,ANCIETA,2026-07-01T08:40:16.951708Z
46352-1910563235,46352,VIRGEN DE ESTRELLA S.A.C.,2026-01-03,191/0563235,CBA709,43.0,ARENA,14,35.17,39.74,375.96,,,JICAMARCA,ANCIETA,2026-07-01T08:40:16.951751Z
46352-1910563283,46352,VIRGEN DE ESTRELLA S.A.C.,2026-01-03,191/0563283,C9W737,21.0,ARENA,14,32.56,33.91,320.83,,,JICAMARCA,BLOQUES ANCIETA INSUMOS SUMINISTROS,2026-07-01T08:40:16.952179Z
