Tipo Servicio,Red Uso,Placa,Fecha Tránsito,Punto de Servicio,Comprobante,Total del Servicio,Saldo Final
Recarga PEX,PEX,,2025-09-22,,TR006-000972792,2500.0,2500.0
Consumo,LIMA EXPRESA,VE-04,2025-09-22,Peaje de Priale Salida - P7,F400-00066822,-39.6,2460.4
Consumo,LIMA EXPRESA,VE-28,2025-09-22,Peaje de Priale Salida - P7,F400-00066822,-26.4,2434.0
Consumo,LIMA EXPRESA,VE-04,2025-09-23,Peaje de Priale Entrada - P6,F400-00067558,-39.6,2394.4
Consumo,LIMA EXPRESA,VE-35,2025-09-23,Peaje de Monterrico Entrada - P1,F400-00067558,-26.4,2368.0
Consumo,LIMA EXPRESA,VE-20,2025-09-23,Peaje de Monterrico Entrada - P1,F400-00067558,-26.4,2341.6
Consumo,LIMA EXPRESA,VE-12,2025-09-23,Peaje de Monterrico Entrada - P1,F400-00067558,-26.4,2315.2
Consumo,LIMA EXPRESA,VE-31,2025-09-23,Peaje de Monterrico Entrada - P1,F400-00067558,-26.4,2288.8
Consumo,LIMA EXPRESA,VE-30,2025-09-23,Peaje de Monterrico Entrada - P1,F400-00067558,-26.4,2262.4
Consumo,LIMA EXPRESA,VE-35,2025-09-23,Peaje de Monterrico Salida - P2,F400-00067558,-26.4,2236.0
Consumo,LIMA EXPRESA,VE-20,2025-09-23,Peaje de Monterrico Salida - P2,F400-00067558,-26.4,2209.6
Consumo,LIMA EXPRESA,VE-12,2025-09-23,Peaje de Monterrico Salida - P2,F400-00067558,-26.4,2183.2
Consumo,LIMA EXPRESA,VE-31,2025-09-23,Peaje de Monterrico Salida - P2,F400-00067558,-26.4,2156.8
Consumo,LIMA EXPRESA,VE-30,2025-09-23,Peaje de Monterrico Salida - P2,F400-00067558,-26.4,2130.4
Consumo,LIMA EXPRESA,VE-06,2025-09-23,Peaje de Monterrico Entrada - P1,F400-00067558,-39.6,2090.8
Consumo,LIMA EXPRESA,VE-05,2025-09-23,Peaje de Monterrico Entrada - P1,F400-00067558,-39.6,2051.2
Consumo,LIMA EXPRESA,VE-35,2025-09-23,Peaje de Monterrico Entrada - P1,F400-00067558,-26.4,2024.8
Consumo,LIMA EXPRESA,VE-20,2025-09-23,Peaje de Priale Entrada - P6,F400-00067558,-26.4,1998.4
Consumo,LIMA EXPRESA,VE-09,2025-09-23,Peaje de Priale Salida - P7,F400-00067558,-19.8,1978.6
Consumo,LIMA EXPRESA,VE-06,2025-09-23,Peaje de Monterrico Salida - P2,F400-00067558,-33.0,1945.6
Consumo,LIMA EXPRESA,VE-05,2025-09-23,Peaje de Monterrico Salida - P2,F400-00067558,-33.0,1912.6
Consumo,LIMA EXPRESA,VE-31,2025-09-23,Peaje de Monterrico Entrada - P1,F400-00067558,-26.4,1886.2
Consumo,LIMA EXPRESA,VE-12,2025-09-23,Peaje de Monterrico Entrada - P1,F400-00067558,-26.4,1859.8
Consumo,LIMA EXPRESA,VE-20,2025-09-23,Peaje de Priale Salida - P7,F400-00067558,-26.4,1833.4
Consumo,LIMA EXPRESA,VE-35,2025-09-23,Peaje de Monterrico Salida - P2,F400-00067558,-26.4,1807.0
Consumo,LIMA EXPRESA,VE-12,2025-09-23,Peaje de Monterrico Salida - P2,F400-00067558,-26.4,1780.6
Consumo,LIMA EXPRESA,VE-30,2025-09-23,Peaje de Monterrico Entrada - P1,F400-00067558,-26.4,1754.2
Consumo,LIMA EXPRESA,VE-30,2025-09-23,Peaje de Monterrico Salida - P2,F400-00067558,-26.4,1727.8
Consumo,LIMA EXPRESA,VE-05,2025-09-23,Peaje de Monterrico Entrada - P1,F400-00067558,-39.6,1688.2
Consumo,LIMA EXPRESA,VE-35,2025-09-23,Peaje de Priale Salida - P7,F400-00067558,-26.4,1661.8
Consumo,LIMA EXPRESA,VE-12,2025-09-23,Peaje de Monterrico Entrada - P1,F400-00067558,-26.4,1635.4
Consumo,LIMA EXPRESA,VE-30,2025-09-23,Peaje de Monterrico Entrada - P1,F400-00067558,-26.4,1609.0
Consumo,LIMA EXPRESA,VE-30,2025-09-23,Peaje de Monterrico Salida - P2,F400-00067558,-26.4,1582.6
Consumo,LIMA EXPRESA,VE-06,2025-09-23,Peaje de Monterrico Salida - P2,F400-00067558,-39.6,1543.0
Consumo,LIMA EXPRESA,VE-35,2025-09-24,Peaje de Monterrico Entrada - P1,F400-00067558,-26.4,1516.6
Consumo,LIMA EXPRESA,VE-20,2025-09-24,Peaje de Priale Entrada - P6,F400-00067558,-26.4,1490.2
Consumo,LIMA EXPRESA,VE-12,2025-09-24,Peaje de Monterrico Entrada - P1,F400-00067558,-26.4,1463.8
Consumo,LIMA EXPRESA,VE-31,2025-09-24,Peaje de Monterrico Entrada - P1,F400-00067558,-26.4,1437.4
Consumo,LIMA EXPRESA,VE-35,2025-09-24,Peaje de Monterrico Salida - P2,F400-00067558,-26.4,1411.0
Consumo,LIMA EXPRESA,D9Z911,2025-09-24,Peaje Estadio – P10   ,F400-00067558,-6.6,1404.4
Consumo,LIMA EXPRESA,VE-12,2025-09-24,Peaje de Monterrico Salida - P2,F400-00067558,-26.4,1378.0
Consumo,LIMA EXPRESA,VE-31,2025-09-24,Peaje de Monterrico Salida - P2,F400-00067558,-26.4,1351.6
Consumo,LIMA EXPRESA,VE-20,2025-09-24,Peaje de Priale Salida - P7,F400-00067558,-26.4,1325.2
Consumo,LIMA EXPRESA,VE-02,2025-09-24,Peaje Estadio – P10   ,F400-00067558,-39.6,1285.6
Consumo,LIMA EXPRESA,VE-02,2025-09-24,Peaje de Priale Salida - P7,F400-00067558,-39.6,1246.0
Consumo,LIMA EXPRESA,VE-35,2025-09-24,Peaje de Monterrico Entrada - P1,F400-00067558,-26.4,1219.6
Consumo,LIMA EXPRESA,VE-12,2025-09-24,Peaje de Monterrico Entrada - P1,F400-00067558,-26.4,1193.2
Consumo,LIMA EXPRESA,VE-09,2025-09-24,Peaje de Priale Entrada - P6,F400-00067558,-19.8,1173.4
Consumo,LIMA EXPRESA,VE-12,2025-09-24,Peaje de Monterrico Salida - P2,F400-00067558,-26.4,1147.0
Consumo,LIMA EXPRESA,VE-31,2025-09-24,Peaje de Monterrico Entrada - P1,F400-00067558,-26.4,1120.6
Consumo,LIMA EXPRESA,VE-05,2025-09-24,Peaje de Priale Entrada - P6,F400-00067558,-39.6,1081.0
Consumo,LIMA EXPRESA,VE-35,2025-09-24,Peaje de Monterrico Salida - P2,F400-00067558,-26.4,1054.6
Consumo,LIMA EXPRESA,D9Z911,2025-09-24,Peaje de El Pino - P5,F400-00067558,-6.6,1048.0
Consumo,LIMA EXPRESA,D9Z911,2025-09-24,Peaje Estadio – P10   ,F400-00067558,-6.6,1041.4
Consumo,LIMA EXPRESA,VE-30,2025-09-24,Peaje Estadio – P10   ,F400-00067558,-26.4,1015.0
Consumo,LIMA EXPRESA,VE-31,2025-09-24,Peaje de Monterrico Salida - P2,F400-00067558,-26.4,988.6
Consumo,LIMA EXPRESA,VE-30,2025-09-24,Peaje de Priale Salida - P7,F400-00067558,-26.4,962.2
Consumo,LIMA EXPRESA,D9Z911,2025-09-24,Peaje de El Pino - P5,F400-00067558,-6.6,955.6
Consumo,LIMA EXPRESA,D9Z911,2025-09-24,Peaje de Separadora Salida - P3,F400-00067558,-6.6,949.0
Consumo,LIMA EXPRESA,D9Z911,2025-09-24,Peaje Huánuco – P8   ,F400-00067558,-6.6,942.4
Consumo,LIMA EXPRESA,VE-06,2025-09-25,Peaje de Priale Entrada - P6,F400-00067558,-39.6,902.8
