id,nombre,tipo,lat,lon
U-01,JICAMARCA,CANTERA,-11.9610416643517,-76.894497725134
U-02,YERBABUENA,CANTERA,-11.7753481335958,-76.9355587892325
U-03,HOSPITAL SERGIO BERNALES,OTROS,-11.9135706273869,-77.0392234677981
U-04,ANCIETA,PLANTA,-12.0378151584632,-77.007395519915
U-05,CAJAMARQUILLA,PLANTA,-11.9654858496488,-76.8915555191122
U-06,CALLAO,PLANTA,-12.0460637106636,-77.1261483623455
U-07,CHAMBALA,PLANTA,-12.0002555479465,-76.9026014729731
U-08,COLLIQUE,PLANTA,-11.9224401748143,-77.0721052757376
U-09,CONCHAN,PLANTA,-12.244796222808,-76.937674000136
U-10,HUAROCHIRI,PLANTA,-11.9097049766651,-76.9653654204305
U-11,MATERIALES,PLANTA,-12.0400097958637,-77.0817764179734
U-12,MEIGGS,PLANTA,-12.0442604294042,-77.124376591079
U-13,OQUENDO,PLANTA,-11.977114868635,-77.13275674505
U-14,SAN JUAN,PLANTA,-12.1463601744593,-76.9799737459499
U-15,VILLA 1,PLANTA,-12.2131595544735,-76.9711443989503
U-16,VILLA 2,PLANTA,-12.2024386327526,-76.973704611227
U-17,SAN LORENZO ,CANTERA,-12.02304973852,-77.1424119364757
U-18,MINERA LOS PRIMOS,CANTERA,-11.8256699938888,-77.0192380039214
U-19,ROMAÑA,CANTERA,-11.8987570661511,-77.119623095612
U-20,ATE,PLANTA,-12.0637920079085,-76.9700570733252
U-21,VILLA,PLANTA,-12.2024386327526,-76.973704611227
U-22,FLOR DE NIEVE,CANTERA,-12.273743539252,-76.8299040630195
U-23,POLIMIX OQUENDO,PLANTA,-11.9859853694125,-77.1325359180649
U-24,POLIMIX SANTA ANITA,PLANTA,-12.0635187149764,-76.9700303180636
U-25,POLIMIX VILLA,PLANTA,-12.2201561344083,-76.9654083279386
U-26,CHANCAY,CANTERA,-11.4121830496381,-77.3748294326228
U-27,PORTILLO,CANTERA,-12.2241250165036,-76.7498458214712
