id,placa,tipo,remolque,marca,modelo,motor,n_serie,device_id,tipo_combustible,anio_fabricacion,anio_modelo,capacidad_toneladas,conductor
VE-01,F3F817,REMOLCADOR,AMZ970,FREIGHTLINER,M2 112,460914U0972440,3AKJC5CV8EDFS1896,4920,DIESEL,2013,2014,48.05,CON-22
VE-02,BBJ814,REMOLCADOR,AKR995,CAMC,HN4250NGB38C9M5,117E06962,LZ5N4MD39HB008458,4602,GNV,2017,2017,48.05,-
VE-03,ATN880,REMOLCADOR,BKH983,FREIGHTLINER,M2 112,460914U1010470,3AKJC5CV8JDJP5615,4675,DIESEL,2017,2018,48.05,CON-02
VE-04,AYM897,REMOLCADOR,AMY999,CAMC,HN4250NGB38C9M5,117J13428,LZ5N4MD35JB000010,4570,GNV,2018,2018,48.05,-
VE-05,BYP824,REMOLCADOR,AKR995,SCANIA,G410 A6X4,OC13101L017346780,9BSG6X400P4014948,5103,GNV,2023,2023,48.05,CON-04
VE-06,BYP838,REMOLCADOR,BKU998,SCANIA,G410 A6X4,OC13101L017350692,9BSG6X400P4015602,5120,GNV,2023,2023,48.05,CON-35
VE-07,CBR846,REMOLCADOR,BPR978,SCANIA,G410 A6X4,OC13101L017347088,9BSG6X400P4014207,5068,GNV,2023,2023,48.05,CON-11
VE-08,CBR854,REMOLCADOR,BPQ985,SCANIA,G410 A6X4,OC13101L017346995,9BSG6X400P4014092,5033,GNV,2023,2023,48.05,CON-26
VE-09,CBR872,REMOLCADOR,BPQ991,SCANIA,G410 A6X4,OC13101L017347025,9BSG6X400P4013711,5032,GNV,2023,2023,48.05,CON-01
VE-10,CBR796,REMOLCADOR,BPP990,SCANIA,G410 A6X4,OC13101L017346822,9BSG6X400P4014069,5031,GNV,2023,2023,48.05,CON-27
VE-11,C9T788,VOLQUETE,-,MERCEDES BENZ,ACTROS 4144 K,54194600791216,WD3NHAAA8CL596404,4644,DIESEL,2011,2012,38.75,CON-20
VE-12,C9W737,VOLQUETE,-,MERCEDES BENZ,ACTROS 4144 K,54194600801258,WDB932315CL608861,4754,DIESEL,2011,2012,38.75,CON-23
VE-13,D8B795,VOLQUETE,-,MERCEDES BENZ,ACTROS 4144 K,54194600802942,WDB932315CL610138,4757,DIESEL,2011,2012,38.75,CON-28
VE-14,D8D861,VOLQUETE,-,MERCEDES BENZ,ACTROS 4144 K,54194600800384,WDB932315CL608862,4567,DIESEL,2011,2012,38.75,CON-25
VE-15,D8E728,VOLQUETE,-,MERCEDES BENZ,ACTROS 4144 K,54194600802313,WDB932315CL608864,4568,DIESEL,2011,2012,38.75,CON-21
VE-16,AFX735,VOLQUETE,-,MERCEDES BENZ,ACTROS 4144 K,541946C0902388,WD3NHAAA2EL782250,4756,DIESEL,2013,2014,38.75,-
VE-17,ABL875,VOLQUETE,-,MERCEDES BENZ,ACTROS 4144 K,541946C0940773,WD3NHAAA8EL862376,4701,DIESEL,2014,2014,38.75,CON-17
VE-18,ABN852,VOLQUETE,-,MERCEDES BENZ,ACTROS 4144 K,541946C0940664,WD3NHAAA9EL862774,4698,DIESEL,2014,2014,38.75,CON-32
VE-19,AHJ786,VOLQUETE,-,MERCEDES BENZ,ACTROS 4144 K,541946C0944902,WD3NHAAA2FL875383,4915,DIESEL,2014,2015,38.75,CON-18
VE-20,AJA905,VOLQUETE,-,MERCEDES BENZ,ACTROS 4144 K,541946C0944411,WD3NHAAA8FL875386,4497,DIESEL,2014,2015,38.75,-
VE-21,AJC805,VOLQUETE,-,MERCEDES BENZ,ACTROS 4144 K,541946C0944255,WD3NHAAA9FL875011,4700,DIESEL,2014,2015,38.75,-
VE-22,AKE789,VOLQUETE,-,MERCEDES BENZ,ACTROS 4144 K,541946C0973675,WD3NHAAA8FL976234,4498,DIESEL,2015,2015,38.75,CON-34
VE-23,AWW871,VOLQUETE,-,SCANIA,G480 B8X4,DC13111L018316776,9BSG8X400J3927135,4699,DIESEL,2018,2018,38.75,CON-08
VE-24,AWH708,VOLQUETE,-,MERCEDES BENZ,ACTROS 4144 K,541946C1029324,WD3NHAAA1K0237685,4755,DIESEL,2018,2019,38.75,CON-24
VE-25,AWW845,VOLQUETE,-,MERCEDES BENZ,ACTROS 4144 K,541946C1028543,WD3NHAAA9K0235635,4603,DIESEL,2018,2019,38.75,CON-14
VE-26,BAE736,VOLQUETE,-,MERCEDES BENZ,ACTROS 4144 K,541946C1029923,WD3NHAAA6K0242235,4563,DIESEL,2019,2019,38.75,-
VE-27,BFC837,VOLQUETE,-,SCANIA,G540 B8X4,DC13172L018362318,9BSG8X400L3972596,4566,DIESEL,2020,2020,38.75,CON-03
VE-28,BFI758,VOLQUETE,-,SCANIA,G540 B8X4,DC13172L018362786,9BSG8X400L3973085,4571,DIESEL,2020,2020,38.75,CON-31
VE-29,BZR752,VOLQUETE,-,SINOTRUK,ZZ3315V3266E1,231217601527,LZZPEXVB8SJ315886,4562,GNV,2024,2025,38.75,-
VE-30,BZR781,VOLQUETE,-,SINOTRUK,ZZ3315V3266E1,231217601507,LZZPEXVBXSJ315887,4569,GNV,2024,2025,38.75,CON-16
VE-31,BZR940,VOLQUETE,-,SINOTRUK,ZZ3315V3266E1,231217601477,LZZPEXVB6SJ315885,4601,GNV,2024,2025,38.75,CON-06
VE-32,CAP946,VOLQUETE,-,SINOTRUK,ZZ3315V3266E1,240217601037,LZZPEXVB5SJ327008,4638,GNV,2024,2025,38.75,CON-05
VE-33,CAZ895,VOLQUETE,-,SINOTRUK,ZZ3315V3266E1,240217601007,LZZPEXVB7SJ327009,4697,GNV,2024,2025,38.75,CON-30
